timestamp,lat,lon,BT_11,BT_12,BTD,Cloud_Mask_Binary,Cloud_Mask_Raw,CTT,CTH,Cloud_Phase,GPM_precipitation_rate
2022-11-22 15:05:00,10.008069,94.42192,226.08,225.89,0.19,1.0,0.0,210.76,13500.0,2.0,0.2899999916553497
2022-11-20 04:35:00,10.008416,95.52943,228.08,226.71,1.38,1.0,0.0,208.16,13850.0,2.0,0.2399999946355819
2022-11-24 04:00:00,10.008424,96.11328,228.8,226.81,1.99,1.0,0.0,214.63,13150.0,2.0,1.6899999380111694
2022-11-24 04:00:00,10.008439,95.795525,213.15,212.92,0.23,1.0,0.0,204.91,14250.0,2.0,1.4499999284744265
2022-11-24 04:00:00,10.008603,94.88754,194.81,194.78,0.03,1.0,0.0,192.8,16450.0,2.0,6.009999752044678
2022-11-20 17:00:00,10.008645,86.3855,279.67,277.76,1.91,1.0,0.0,279.4,3650.0,1.0,0.1499999910593032
2022-11-19 16:20:00,10.008821,81.50522,218.68,218.44,0.24,1.0,0.0,210.69,13500.0,2.0,0.3899999856948852
2022-11-19 16:20:00,10.008826,85.11355,209.2,207.74,1.46,1.0,0.0,193.7,15750.0,2.0,1.2799999713897705
2022-11-21 16:05:00,10.008852,91.74605,257.48,253.04,4.45,1.0,0.0,223.51,12100.0,2.0,0.1400000005960464
2022-11-20 04:35:00,10.008911,89.30647,292.98,290.92,2.06,0.0,3.0,,,0.0,0.2399999946355819
2022-11-22 04:20:00,10.008919,94.22694,230.02,230.4,-0.37,1.0,0.0,226.39,11750.0,2.0,0.0299999993294477
2022-11-19 16:20:00,10.008923,82.92846,218.45,217.93,0.52,1.0,0.0,204.53,14250.0,2.0,2.549999952316284
2022-11-24 16:30:00,10.009109,94.30845,220.8,219.53,1.27,1.0,0.0,201.11,14950.0,2.0,0.2999999821186065
2022-11-24 04:00:00,10.009503,95.184654,193.09,193.19,-0.1,1.0,0.0,194.85,16100.0,2.0,17.69999885559082
2022-11-23 15:45:00,10.009512,91.51557,256.83,254.67,2.16,1.0,0.0,237.49,10400.0,6.0,0.1099999994039535
2022-11-22 15:05:00,10.009531,94.41645,226.33,226.46,-0.13,1.0,0.0,207.65,13850.0,2.0,0.2899999916553497
2022-11-19 03:55:00,10.009761,89.90193,280.31,278.5,1.81,1.0,0.0,283.47,2850.0,6.0,1.0
2022-11-22 04:20:00,10.009866,95.561646,217.15,217.15,0.0,1.0,0.0,217.41,12800.0,2.0,0.3899999856948852
2022-11-23 15:45:00,10.010001,91.85012,259.59,258.72,0.88,1.0,0.0,263.02,6850.0,6.0,0.199999988079071
2022-11-24 04:00:00,10.010103,93.947624,206.71,206.47,0.24,1.0,0.0,202.73,14600.0,2.0,2.259999990463257
2022-11-20 04:35:00,10.010268,83.69518,233.43,232.52,0.91,1.0,0.0,220.66,12450.0,2.0,1.9299999475479128
2022-11-19 16:20:00,10.01028,82.33007,232.08,231.32,0.76,1.0,0.0,220.44,12450.0,2.0,0.0700000002980232
2022-11-23 15:45:00,10.010536,95.70476,224.71,223.69,1.02,1.0,0.0,213.98,13150.0,2.0,0.2800000011920929
2022-11-19 16:20:00,10.010715,90.80411,288.85,286.39,2.46,1.0,1.0,229.51,11400.0,6.0,0.550000011920929
2022-11-22 04:20:00,10.010777,95.94574,217.92,217.65,0.27,1.0,0.0,217.41,12800.0,2.0,4.389999866485596
