feature,importance
lat,0.20930642314381542
CTH,0.16528299134053284
BT_11,0.1219748278102752
BT_12,0.11760250138748624
lon,0.10457844090809824
BTD,0.09132025790022998
Cloud_Mask_Raw,0.0696545707535962
CTT,0.06397406841399765
Cloud_Phase,0.05630591834196827
